File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_NDVI_doy2008017_aid0001,_500m_16_days_NDVI,aid0001,2008-01-17,3625.0,-0.1949,0.7547,"(-0.1949,0.7547)",0.402112,0.1515417,0.0229649,0.5034,0.7547,0.4082,0.0093,0.3054
MOD13A1_006__500m_16_days_NDVI_doy2008033_aid0001,_500m_16_days_NDVI,aid0001,2008-02-02,3616.0,-0.1962,0.7617,"(-0.1962,0.7617)",0.3820838,0.1639264,0.0268719,0.4936,0.7617,0.40895,-0.0147,0.29
MOD13A1_006__500m_16_days_NDVI_doy2008049_aid0001,_500m_16_days_NDVI,aid0001,2008-02-18,3649.0,-0.1597,0.7728,"(-0.1597,0.7728)",0.4031282,0.1421163,0.020197,0.492,0.745,0.4143,0.0647,0.3206
MOD13A1_006__500m_16_days_NDVI_doy2008065_aid0001,_500m_16_days_NDVI,aid0001,2008-03-05,3619.0,-0.1439,0.7484,"(-0.1439,0.7484)",0.3350603,0.1661341,0.0276006,0.4523,0.7484,0.3502,-0.1326,0.21735
MOD13A1_006__500m_16_days_NDVI_doy2008081_aid0001,_500m_16_days_NDVI,aid0001,2008-03-21,3631.0,-0.1307,0.7416,"(-0.1307,0.7416)",0.4091067,0.1378588,0.0190051,0.4964,0.7416,0.4301,0.0906,0.3324
MOD13A1_006__500m_16_days_NDVI_doy2008097_aid0001,_500m_16_days_NDVI,aid0001,2008-04-06,3647.0,-0.1969,0.784,"(-0.1969,0.784)",0.4164159,0.1381938,0.0190975,0.51,0.762,0.432,0.0785,0.3365
MOD13A1_006__500m_16_days_NDVI_doy2008113_aid0001,_500m_16_days_NDVI,aid0001,2008-04-22,3641.0,-0.1411,0.7617,"(-0.1411,0.7617)",0.4327542,0.1467713,0.0215418,0.5241,0.7617,0.4588,0.1171,0.3602
MOD13A1_006__500m_16_days_NDVI_doy2008129_aid0001,_500m_16_days_NDVI,aid0001,2008-05-08,3706.0,-0.0592,0.8139,"(-0.0592,0.8139)",0.4827793,0.1355272,0.0183676,0.5801,0.8139,0.505,0.1611,0.410925
MOD13A1_006__500m_16_days_NDVI_doy2008145_aid0001,_500m_16_days_NDVI,aid0001,2008-05-24,3640.0,-0.1888,0.8455,"(-0.1888,0.8455)",0.4951824,0.1728303,0.0298703,0.61185,0.8455,0.51605,0.1173,0.4136
MOD13A1_006__500m_16_days_NDVI_doy2008353_aid0001,_500m_16_days_NDVI,aid0001,2008-12-18,3668.0,-0.1565,0.4346,"(-0.1565,0.4346)",0.0390502,0.0645806,0.0041706,0.069,0.1751,0.0261,-0.1019,-0.0022
MOD13A1_006__500m_16_days_NDVI_doy2009001_aid0001,_500m_16_days_NDVI,aid0001,2009-01-01,3631.0,-0.0804,0.3595,"(-0.0804,0.3595)",0.0144695,0.0353644,0.0012506,0.0322,0.0871,0.013,-0.0588,-0.0044
MOD13A1_006__500m_16_days_NDVI_doy2009017_aid0001,_500m_16_days_NDVI,aid0001,2009-01-17,3616.0,-0.1428,0.7445,"(-0.1428,0.7445)",0.3534438,0.1507451,0.0227241,0.45365,0.7445,0.3519,-0.0353,0.2541
MOD13A1_006__500m_16_days_NDVI_doy2009033_aid0001,_500m_16_days_NDVI,aid0001,2009-02-02,3635.0,-0.1473,0.7738,"(-0.1473,0.7738)",0.3725957,0.1388546,0.0192806,0.45615,0.7137,0.3737,0.0249,0.2836
MOD13A1_006__500m_16_days_NDVI_doy2009049_aid0001,_500m_16_days_NDVI,aid0001,2009-02-18,3616.0,-0.184,0.7859,"(-0.184,0.7859)",0.3530403,0.1311748,0.0172068,0.432375,0.67,0.3588,0.0328,0.2717
