File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2014353_aid0001,_500m_16_days_EVI,aid0001,2014-12-19,1617.0,-0.0375,0.4937,"(-0.0375,0.4937)",0.1963626,0.1348641,0.0181883,0.3158,0.4937,0.2188,-0.0375,0.0748
MOD13A1_006__500m_16_days_EVI_doy2015001_aid0001,_500m_16_days_EVI,aid0001,2015-01-01,1617.0,-0.0456,0.4352,"(-0.0456,0.4352)",0.1487492,0.1181945,0.0139699,0.2473,0.4352,0.1429,-0.0456,0.0356
MOD13A1_006__500m_16_days_EVI_doy2015017_aid0001,_500m_16_days_EVI,aid0001,2015-01-17,1617.0,-0.0158,0.4566,"(-0.0158,0.4566)",0.184281,0.1100902,0.0121199,0.2739,0.4566,0.1853,-0.0158,0.0823
MOD13A1_006__500m_16_days_EVI_doy2015033_aid0001,_500m_16_days_EVI,aid0001,2015-02-02,1617.0,0.0015,0.5324,"(0.0015,0.5324)",0.1925089,0.1265317,0.0160103,0.2915,0.5324,0.1642,0.0015,0.0816
MOD13A1_006__500m_16_days_EVI_doy2015049_aid0001,_500m_16_days_EVI,aid0001,2015-02-18,1617.0,-0.0047,0.4668,"(-0.0047,0.4668)",0.2573172,0.1327729,0.0176286,0.3845,0.4668,0.2835,-0.0047,0.1194
MOD13A1_006__500m_16_days_EVI_doy2015065_aid0001,_500m_16_days_EVI,aid0001,2015-03-06,1617.0,0.0407,0.3523,"(0.0407,0.3523)",0.1844635,0.0798765,0.0063802,0.256,0.3523,0.2039,0.0407,0.1023
MOD13A1_006__500m_16_days_EVI_doy2015081_aid0001,_500m_16_days_EVI,aid0001,2015-03-22,1617.0,0.0428,0.4026,"(0.0428,0.4026)",0.2155051,0.099878,0.0099756,0.3077,0.4026,0.2319,0.0428,0.1173
MOD13A1_006__500m_16_days_EVI_doy2015097_aid0001,_500m_16_days_EVI,aid0001,2015-04-07,1617.0,0.028,0.4411,"(0.028,0.4411)",0.2516182,0.1166214,0.0136006,0.3703,0.4411,0.258,0.028,0.1369
MOD13A1_006__500m_16_days_EVI_doy2015113_aid0001,_500m_16_days_EVI,aid0001,2015-04-23,1617.0,0.0648,0.6071,"(0.0648,0.6071)",0.2986422,0.1436855,0.0206455,0.4377,0.6071,0.2934,0.0648,0.1628
MOD13A1_006__500m_16_days_EVI_doy2015129_aid0001,_500m_16_days_EVI,aid0001,2015-05-09,1617.0,0.0613,0.68,"(0.0613,0.68)",0.3392259,0.1725064,0.0297585,0.4973,0.68,0.3464,0.0613,0.1655
