File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A1_006__500m_16_days_EVI_doy2010017_aid0001,_500m_16_days_EVI,aid0001,2010-01-17,315.0,-0.0053,0.3874,"(-0.0053,0.3874)",0.1649505,0.0719287,0.0051737,0.2042,0.3355,0.1578,-0.0053,0.1145
MOD13A1_006__500m_16_days_EVI_doy2010033_aid0001,_500m_16_days_EVI,aid0001,2010-02-02,315.0,0.012,0.1748,"(0.012,0.1748)",0.0790879,0.0415704,0.0017281,0.1079,0.1748,0.0734,0.012,0.0503
MOD13A1_006__500m_16_days_EVI_doy2010049_aid0001,_500m_16_days_EVI,aid0001,2010-02-18,315.0,0.1227,0.4617,"(0.1227,0.4617)",0.2542041,0.0586528,0.0034402,0.29065,0.386,0.2495,0.1227,0.2134
MOD13A1_006__500m_16_days_EVI_doy2010065_aid0001,_500m_16_days_EVI,aid0001,2010-03-06,315.0,0.1371,0.4048,"(0.1371,0.4048)",0.2697908,0.0529728,0.0028061,0.2991,0.3817,0.2648,0.167,0.2396
MOD13A1_006__500m_16_days_EVI_doy2010081_aid0001,_500m_16_days_EVI,aid0001,2010-03-22,315.0,0.1835,0.6327,"(0.1835,0.6327)",0.3663298,0.0945483,0.0089394,0.4181,0.5823,0.3532,0.1835,0.29785
MOD13A1_006__500m_16_days_EVI_doy2010097_aid0001,_500m_16_days_EVI,aid0001,2010-04-07,315.0,0.1729,0.5714,"(0.1729,0.5714)",0.3226746,0.0924848,0.0085534,0.3801,0.5714,0.3033,0.1729,0.2425
MOD13A1_006__500m_16_days_EVI_doy2010113_aid0001,_500m_16_days_EVI,aid0001,2010-04-23,315.0,0.2449,0.6765,"(0.2449,0.6765)",0.48686,0.0846078,0.0071585,0.5509,0.6765,0.4984,0.2799,0.44185
MOD13A1_006__500m_16_days_EVI_doy2010129_aid0001,_500m_16_days_EVI,aid0001,2010-05-09,315.0,0.3062,0.6881,"(0.3062,0.6881)",0.5637908,0.0951157,0.009047,0.6308,0.6881,0.5961,0.4025,0.5317
MOD13A1_006__500m_16_days_EVI_doy2010145_aid0001,_500m_16_days_EVI,aid0001,2010-05-25,315.0,0.2537,0.6747,"(0.2537,0.6747)",0.533721,0.095716,0.0091616,0.61025,0.6747,0.5539,0.3208,0.4936
MOD13A1_006__500m_16_days_EVI_doy2010353_aid0001,_500m_16_days_EVI,aid0001,2010-12-19,315.0,-0.0364,0.4788,"(-0.0364,0.4788)",0.1882797,0.1274584,0.0162456,0.28685,0.4788,0.2035,-0.0364,0.0643
MOD13A1_006__500m_16_days_EVI_doy2011001_aid0001,_500m_16_days_EVI,aid0001,2011-01-01,315.0,0.1418,0.4195,"(0.1418,0.4195)",0.2564768,0.0631223,0.0039844,0.2981,0.4195,0.241,0.1418,0.2092
MOD13A1_006__500m_16_days_EVI_doy2011017_aid0001,_500m_16_days_EVI,aid0001,2011-01-17,315.0,0.1142,0.4606,"(0.1142,0.4606)",0.2633952,0.0727287,0.0052895,0.30975,0.4606,0.2601,0.1142,0.2088
MOD13A1_006__500m_16_days_EVI_doy2011033_aid0001,_500m_16_days_EVI,aid0001,2011-02-02,315.0,0.1173,0.4386,"(0.1173,0.4386)",0.2369879,0.0610708,0.0037296,0.2674,0.3763,0.2325,0.1173,0.1917
MOD13A1_006__500m_16_days_EVI_doy2011049_aid0001,_500m_16_days_EVI,aid0001,2011-02-18,315.0,0.1129,0.4199,"(0.1129,0.4199)",0.2639473,0.0622418,0.003874,0.3066,0.4199,0.2524,0.1129,0.22055
MOD13A1_006__500m_16_days_EVI_doy2011065_aid0001,_500m_16_days_EVI,aid0001,2011-03-06,315.0,0.1308,0.5401,"(0.1308,0.5401)",0.2928962,0.0785981,0.0061777,0.34805,0.4713,0.2721,0.1308,0.23715
MOD13A1_006__500m_16_days_EVI_doy2011081_aid0001,_500m_16_days_EVI,aid0001,2011-03-22,315.0,0.1705,0.6525,"(0.1705,0.6525)",0.3691594,0.1033131,0.0106736,0.4479,0.6525,0.3448,0.1705,0.2906
MOD13A1_006__500m_16_days_EVI_doy2011097_aid0001,_500m_16_days_EVI,aid0001,2011-04-07,315.0,0.215,0.6613,"(0.215,0.6613)",0.46008,0.092893,0.0086291,0.5223,0.6613,0.4731,0.2626,0.416
